Target,V,U,B,R,I,J,H,K,L,M,N,eV,eU,eB,eR,eI,eJ,eH,eK,eL,eM,eN,ObsDate
HD 147749,5.2,4.69,4.57,4.1,3.93,3.86,3.74,3.71,3.67,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 147767,5.39,--,--,--,--,--,--,10.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 147888,6.74,4.46,5.12,--,--,5.65,5.72,5.82,5.75,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 147889,7.9,15.29,10.98,--,--,3.3,2.39,1.89,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 147932 C,7.27,11.38,10.88,--,--,9.08,8.92,8.76,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 147955,7.27,--,--,--,--,7.57,7.54,7.54,7.52,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 148112,4.58,6.16,5.47,3.8,3.31,2.89,2.43,2.32,2.22,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14818,6.26,7.66,8.16,--,--,--,8,8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 148182,7.3,6.71,6.61,--,--,4.83,4.53,4.45,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 148184,4.43,4.13,4.03,3.74,3.58,3.57,3.51,3.48,3.48,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 148206,6.7,6.56,7.11,--,--,--,7.34,7.46,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14826,8.22,--,--,--,--,9.05,8.1,6.65,4.7,--,1.35,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 148260,7.9,--,--,7.77,7.65,--,--,7.21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14829,10.29,8.29,6.36,3.38,2.31,1.65,--,0.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 148349,5.23,6.2,5.11,3.15,2.59,2.18,--,1.51,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 148379,5.37,10.04,8,4.69,3.3,2.43,1.49,1.29,1.08,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 148387,2.74,8.87,8.93,--,--,--,8.6,8.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 148478,0.91,11.88,10.69,7.79,6.74,5.97,5.03,4.8,4.53,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 148513,5.39,5.54,4.83,2.99,2.43,1.99,--,1.31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 148546,7.71,5.49,4.28,2.27,1.69,1.25,--,0.53,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 148562,7.81,--,--,--,--,4.99,4.01,3.44,2.89,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 148579,7.32,--,--,--,--,6.11,5.07,4.68,4.24,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 1486,7.22,4.48,4.97,--,--,5.42,5.4,5.5,5.46,5.53,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 148605,4.79,4.16,4.72,4.94,5.09,5.14,--,5.35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 148688,5.39,5.08,5,3.9,3.59,3.35,3.04,2.98,2.89,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 148703,4.23,7.05,8.01,--,--,--,--,6.72,6.23,--,4.45,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 148783,5.01,4.36,2.29,-1.17,-2.45,-3,-3.73,-4.05,-4.4,-4.19,-4.99,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 148786,4.27,6.58,7.26,--,--,--,--,6.44,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 148816,7.28,6.82,6.39,--,--,0.61,-0.28,-0.7,-1.36,-1.55,-2.85,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 148839,8.32,--,--,--,--,4.18,2.98,2.72,2.49,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 148856,2.77,4.05,4.05,3.39,3.23,3.1,2.93,2.9,2.88,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 148898,4.45,3.82,4.76,4.76,4.87,--,--,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 148937,6.71,8.18,8.24,--,--,7.11,6.9,6.87,6.77,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 149019,7.43,10.2,9.54,7.87,7.35,6.97,6.44,6.34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 149038,4.94,5.62,4.71,2.95,2.45,2.02,--,1.42,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 149076,7.47,--,--,--,--,--,--,--,7,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 149121,5.63,3.52,4.18,--,--,4.72,4.78,4.82,4.85,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 149161,4.85,--,--,--,--,--,--,11.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 149168,9.93,1.97,1.93,1.82,1.83,1.85,--,1.86,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 149228,9.97,9.77,9.08,--,--,6.4,5.87,5.78,5.74,5.75,5.7,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 149249 A,7.5,7.8,5.97,2.56,1.08,0.26,-0.61,-0.87,-1.08,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 149249C,12.92,8.26,8.8,--,--,--,8.7,8.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 149363,7.81,2.36,2.54,2.62,2.68,2.69,2.7,2.75,--,2.96,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 149367,8.52,15.16,12.78,8,6.26,5.17,4.01,3.6,3.28,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 149414,9.63,8.61,9.24,--,--,--,8.29,7.93,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 149438,2.81,6.95,5.74,3.59,2.92,2.34,--,1.54,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14947,7.98,6.18,5.1,3.14,2.56,2.13,--,1.47,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 149511,10.4,--,--,--,--,5.11,3.91,2.77,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14956,7.2,13.22,11.44,8.09,6.78,5.92,4.98,4.73,4.47,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 149661,5.74,9.89,9.91,8.71,8.29,7.95,7.56,7.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 149757,2.56,4.24,4.91,4.32,4.1,4.04,--,3.84,3.7,3.66,3.41,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 149827,9.63,5.54,5.02,3.47,3.02,2.71,--,2.13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 149880,9.03,7.82,6.38,--,--,--,--,1.79,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 150041,7.06,4.31,5.14,5.13,5.09,5.03,5.01,4.77,4.3,4.23,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 15008,4.09,--,--,--,--,--,--,--,--,--,4.05,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 150080 C,9.5,5.29,5.17,--,--,--,1.94,1.62,0.9,0.44,-1.16,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 150135,6.88,--,--,--,--,8.21,7.46,6.99,5.72,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 150136 AB,5.65,9.72,8.42,4.12,1.75,0.74,-0.22,-0.54,-0.76,-0.5,-2.26,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 150168,5.68,12.82,10.8,7.51,6.28,5.5,4.6,4.36,4.19,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 150193,8.79,7.31,7.93,--,--,--,--,7.38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 150207,9.7,10.42,9.71,--,--,6.54,6.07,5.95,6.02,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 150450,4.9,11.03,9.19,6.01,4.61,3.77,2.86,2.62,2.45,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 150574,8.5,5.86,5.8,--,--,--,5.38,5.35,5.05,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 150680,2.81,6.73,7.62,--,--,--,--,7.32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 150898,5.61,5.33,5.96,--,--,--,--,5.23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 150958,7.3,8.29,8.87,--,--,7.79,7.71,7.59,7.58,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 150997,3.5,--,--,--,--,8.55,7.9,7.7,6.29,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 151,9.2,--,--,--,--,2.25,1.29,0.78,0.19,0.42,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 151003,7.09,--,--,--,--,4.2,3.33,2.88,2.46,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 15105,7.2,10.58,8.81,4.65,3.17,2.16,1.19,0.91,0.59,0.5,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 151055,10,10.24,9.2,5.57,4.04,3.01,2.11,1.85,1.58,1.73,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 15120,9.5,3.65,4.31,4.53,4.69,4.81,--,4.94,5.01,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 151213,7.66,4.21,4.8,4.94,5.08,5.09,5.34,5.79,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 151217,5.15,5.73,6.1,--,--,6.36,6.32,6.35,6.29,5.6,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 151346,7.9,11.11,8.63,4.55,3.07,2.17,1.26,0.97,0.65,0.75,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 15144,5.83,--,--,--,--,13.14,12.62,12.41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 151515,7.3,--,--,--,--,8.67,8.1,6.79,4.49,3.2,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 151525,5.24,8.49,6.63,3.51,2.27,1.63,0.69,0.5,0.35,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 151564,7.98,6.55,4.89,1.79,0.48,-0.33,-1.22,-1.43,-1.63,-1.36,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 151592,8,--,--,--,--,--,--,7.1,6.3,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 151680,2.29,6.17,5.36,3.55,3.01,2.57,2.05,1.92,1.82,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 151732,5.87,6.69,5.27,2.99,2.36,1.84,1.17,1.04,0.94,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 151804,5.22,--,--,--,--,12.98,12.9,12.71,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 151937,6.67,9.41,9.52,8.34,7.91,7.57,7.19,7.12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 152003,7.08,12.04,10.35,--,--,4.84,3.91,3.65,3.42,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 152147,7.34,5.42,5.94,--,--,6.42,6.46,6.45,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 152173,5.72,11.26,9.8,--,--,5.97,5.26,5.12,5.03,5.09,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 1522,3.55,4.98,5.75,5.95,6.08,6.23,6.35,6.13,6.39,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 152217,8.45,6.31,6.7,5.78,5.38,--,--,4.95,4.84,4.77,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 152218,7.61,6.2,5.37,3.64,3.13,2.82,--,2.22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 152233,6.59,9.65,9.87,--,--,--,--,6.84,6.68,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 152234,5.45,--,--,--,--,4.15,2.97,2.22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 152235,6.38,--,--,--,--,9.39,8.76,8.3,6.67,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 152236,4.79,5.95,6.25,--,--,6.43,6.41,6.43,6.35,5.86,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 152245,8.37,12.34,10.54,7.2,5.67,4.85,3.92,3.65,3.43,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 152246,7.29,6.52,7.21,--,--,--,--,5.93,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 152247,7.16,--,--,--,--,7.34,7.07,7,6.73,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 152249,6.45,9.59,7.72,--,--,2.86,1.93,1.75,1.6,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 152270,6.59,--,--,--,--,3.98,3.04,2.67,2.56,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 152276,6.4,11.92,9.96,6.1,4.46,3.51,2.52,2.21,1.95,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 15238,8.6,15.14,12.97,7.8,5.81,4.72,3.59,3.18,2.66,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 152386,8.13,7.46,7.26,--,--,5.53,5.2,5.14,5.13,5.14,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 152404,9,4.74,5.56,5.38,5.34,5.22,5.15,4.88,4.53,4.35,3.6,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 152405,7.29,--,--,--,--,4.2,3.06,2.23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 152408,5.77,16.86,12.36,--,--,3.12,1.95,1.51,1.12,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 152424,6.27,6.37,4.51,1.3,-0.08,-0.78,-1.68,-1.49,-2.04,-1.83,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 152476,6.2,9.03,8.26,--,--,2.49,1.68,1.17,0.61,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 152478,6.33,--,--,--,--,4.52,3.36,2.82,2.06,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 15253,6.51,5.25,4.73,3.18,2.71,2.41,--,1.87,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 152560,8.1,0.77,1.73,2.11,2.35,2.53,2.62,2.65,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 152667,6.22,--,--,--,--,4.8,3.75,2.98,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 152723,7.1,8.85,6.67,3.36,2.29,1.51,0.7,0.5,0.2,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 152783,6.1,10.79,8.9,--,--,4.68,3.91,3.73,3.59,3.73,3.5,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 15280,10,5.41,6.04,--,--,6.22,6.05,5.67,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 153004,6.61,7.81,8.24,7.62,7.47,--,--,6.87,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 15316,7.23,8.24,7.2,--,--,4.2,3.69,3.58,3.46,3.62,3.48,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 153167,7.8,11.64,8.31,4.28,2.98,2.11,1.13,0.73,0.3,0.54,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 15318,4.3,--,7.01,--,--,5.29,5,4.94,--,4.92,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 153210,3.2,-0.49,-0.59,-0.96,-1.13,-1.15,-1.25,-1.35,-1.43,-1.41,-1.52,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 153261,6.11,9.05,9.81,--,--,--,--,9.28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 153299,6.56,8.71,8.69,--,--,6.62,6.2,6.13,6.08,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 153336,5.86,--,7.12,--,--,5.42,5.1,5.01,--,5.02,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 153426,7.47,5.54,5.7,--,--,5.84,5.85,5.87,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 153432,11.3,5.91,6.79,--,--,--,--,6.38,5.93,--,5,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 15371,4.25,6.73,6.23,--,--,4.38,--,3.96,3.85,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 153808,3.92,7.86,7.79,6.64,6.29,5.96,5.63,5.58,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 153858,7,8.83,9.29,--,--,--,9.1,8.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 153882,6.31,7.86,8.52,8.11,8.01,7.74,6.41,4.52,2.17,1.1,-1.22,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 153919,6.51,3.51,4,4.17,4.28,4.47,4.43,4.4,4.28,4.15,4.2,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 154043,7.1,3.7,4.31,4.54,4.7,4.71,--,4.93,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 154090,4.87,3.87,4.5,--,--,--,--,4.03,3.78,3.54,3.16,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 154143,4.98,2.85,3.59,3.75,3.91,--,3.86,3.76,3.66,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 154276,9.13,4.92,5.57,--,--,--,6.06,5.99,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 154356,6.69,9.87,8.27,5.62,4.84,4.22,3.55,3.33,3.14,3.41,3.17,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 154365,6.93,10.27,9.13,--,--,5.97,5.36,5.25,5.16,5.27,4.3,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 154368,6.13,6.64,7.18,6.31,5.81,5.38,4.73,4.42,4.09,--,4.22,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 1544,8.12,8.62,9.06,--,--,--,--,9.77,9.12,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 154445,5.61,9.42,9.9,--,--,--,--,9.25,9.3,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 1546,7.8,--,--,--,--,--,6.13,4.72,3.05,2.02,0.21,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 154721,7,5.2,6.06,--,--,5.99,5.95,5.63,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 154948,5.08,10.34,10.9,--,--,10.2,10.19,10.17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 15497,7.02,8.28,8.85,--,--,--,--,8.56,8.63,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 155125,2.42,7.6,8.36,--,--,7.87,7.85,7.82,--,7.31,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 155161,8.1,8.94,9.59,--,--,8.91,8.71,8.41,--,7.27,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 155203,3.33,10.45,10.28,--,--,--,--,8.68,8.3,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 15558,7.87,7.33,8.08,7.76,7.66,7.55,7.63,7.47,7.08,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 155603,6.44,8.88,9.57,--,--,9.07,9,8.98,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 155603B,10.41,7.03,7.8,--,--,7.27,7.26,7.21,7.26,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 155644,5.33,6.03,6.86,6.5,6.41,6.48,6.44,6.41,6.22,6.32,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 15570,8.11,8.01,8.72,--,--,8.16,8.12,8.09,--,7.8,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 155734,8.8,6.73,7.5,6.95,6.79,6.76,6.67,6.63,6.51,6.72,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 155737,8.85,7.6,8.36,7.98,7.86,7.77,7.69,7.64,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 155763,3.17,11.09,11.34,--,--,10.44,10.36,10.32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 155806,5.53,11.12,11.35,--,--,10.43,10.4,10.3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 155851,8.13,3.1,4.09,4.45,4.72,4.9,4.96,5.06,5.08,5.1,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 155889,6.55,10.78,11.08,--,--,9.93,9.7,9.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 156014,3.06,4.3,4.5,4.4,4.36,4.35,4.23,4.28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 156074,7.61,7.88,8.43,--,--,--,--,6.54,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 156134,8.05,8.39,8.95,--,--,7.46,6.65,5.61,4.3,3.53,1.56,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 156154,8.04,8.12,7.35,5.49,5.01,4.6,4.13,4.03,3.97,4.1,3.9,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 156163,8.6,--,--,--,--,7.71,7.48,7.42,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 156164,3.13,7.99,8.72,--,--,--,7.93,7.91,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 156201,8.01,7.92,8.6,--,--,7.53,7.41,7.4,7.42,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 156208,6.18,7.49,8.1,--,--,6.94,6.85,6.88,6.91,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 156274,5.48,8.88,8.87,7.73,7.33,--,--,6.57,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 156283,3.18,7.61,8.27,--,--,7.14,7.07,7.04,7.16,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 15629,8.42,7.79,7.25,--,--,5.21,--,4.68,4.64,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 156327,9.32,10.09,10.09,8.45,7.77,--,--,6.67,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 156385,6.92,5.43,5.84,5.78,5.81,5.79,5.77,5.79,5.73,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 156462,6.43,--,--,--,--,3.02,2.02,1.62,1.39,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 156729,4.65,--,7.89,3.31,1.9,1.07,-0.01,-0.44,-1.04,-1.01,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 156738,9.35,7.88,8.52,--,--,--,--,7.73,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 156801,7.6,7.67,8.16,--,--,--,--,6.74,6.68,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 156846,6.52,--,11.31,--,--,5.37,4.98,4.33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 157038,6.44,5.91,6.83,--,--,--,--,6.99,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 157042,5.25,8.71,9.28,--,--,--,--,7.67,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 157049,5,5.05,5.44,--,--,5.32,5.46,5.31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 157056,3.26,--,--,--,--,14.08,13.69,13.44,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 157089,7.01,--,--,--,--,7.38,6.83,6.61,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 157198,5.12,5.96,4.97,3.13,2.61,2.25,1.72,1.6,1.55,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 157214,5.39,5.23,6.11,--,--,5.85,5.84,5.96,5.66,5.49,4.7,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 157244,2.85,1.98,1.92,1.86,1.87,1.89,1.85,1.87,1.89,--,2.19,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 157246 A,3.34,--,--,--,--,--,11.9,11.4,8.8,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 157246 AB,3.34,8.6,7.04,--,--,3.32,--,2.47,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 157246C,12.17,5.65,6.35,5.98,5.87,5.76,5.74,5.71,5.75,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 157257,6.35,6.61,5.57,3.56,2.97,2.54,--,1.81,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 157325,5.59,7.36,6.05,3.92,3.31,2.75,--,2.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 157451,10.2,6.55,7.31,--,--,--,--,6.74,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 157504,10.68,5.67,6.44,6.11,6.04,5.89,5.87,5.84,5.88,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 157857,7.78,2.65,3.06,3.17,3.24,3.33,3.37,3.39,3.37,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 157950,4.54,11.4,11.44,--,--,9.13,7.4,5.46,3.25,1.98,0.19,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 157967,5.98,--,--,--,--,12.65,12.01,11.75,11.1,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 157978,6.04,10.95,10.91,10.94,10.95,10.93,10.9,10.91,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 15798,4.75,--,--,--,--,--,--,7.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 157999,4.31,--,--,--,--,13.4,12.71,11.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 158094,3.62,9.53,9.4,--,--,8.61,8.26,7.66,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 158094 A,3.62,--,--,--,--,--,13.16,12.63,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 158094B,10.98,--,--,--,--,--,13.36,12.44,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 1581,4.23,--,--,--,--,--,11.51,10.65,9.67,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 158186,7.04,7.71,8.31,--,--,8.75,8.8,8.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 158261,5.94,--,--,--,--,11.94,11.24,10.85,10.46,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 158393,9.1,--,--,--,--,--,13.06,12.24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 158427,2.95,6.95,7.79,--,--,8.29,8.36,8.35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 158643,4.81,8.26,8.92,--,--,9.18,8.97,8.94,--,7.08,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 158864,8.15,--,--,--,--,12.17,11.41,11.08,10.01,--,3.9,--,--,--,--,--,--,--,--,--,--,--,unknown
